Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,LegacyWebForms.csproj,File,LegacyWebForms.csproj,,,Antlr 3.5.0.2,,,,,"Antlr, 3.5.0.2  Recommendation:  Remove Antlr, and replace with new package Antlr4 4.6.6"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,LegacyWebForms.csproj,File,LegacyWebForms.csproj,,,Microsoft.AspNet.FriendlyUrls 1.0.2,,,,,"Microsoft.AspNet.FriendlyUrls, 1.0.2  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,LegacyWebForms.csproj,File,LegacyWebForms.csproj,,,Microsoft.AspNet.FriendlyUrls.Core 1.0.2,,,,,"Microsoft.AspNet.FriendlyUrls.Core, 1.0.2  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,LegacyWebForms.csproj,File,LegacyWebForms.csproj,,,Microsoft.AspNet.ScriptManager.MSAjax 5.0.0,,,,,"Microsoft.AspNet.ScriptManager.MSAjax, 5.0.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,LegacyWebForms.csproj,File,LegacyWebForms.csproj,,,Microsoft.AspNet.ScriptManager.WebForms 5.0.0,,,,,"Microsoft.AspNet.ScriptManager.WebForms, 5.0.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,LegacyWebForms.csproj,File,LegacyWebForms.csproj,,,Microsoft.AspNet.Web.Optimization 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization, 1.1.3  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,LegacyWebForms.csproj,File,LegacyWebForms.csproj,,,Microsoft.AspNet.Web.Optimization.WebForms 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization.WebForms, 1.1.3  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LegacyWebForms.csproj,File,LegacyWebForms.csproj,,,Microsoft.CodeDom.Providers.DotNetCompilerPlatform 2.0.1,,,,,"Microsoft.CodeDom.Providers.DotNetCompilerPlatform, 2.0.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LegacyWebForms.csproj,File,LegacyWebForms.csproj,,,Microsoft.Web.Infrastructure 2.0.0,,,,,"Microsoft.Web.Infrastructure, 2.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,LegacyWebForms.csproj,File,LegacyWebForms.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,LegacyWebForms.csproj,File,LegacyWebForms.csproj,,,Microsoft.AspNet.Web.Optimization 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization, 1.1.3  Recommendation:  Should be replaced. Remove Microsoft.AspNet.Web.Optimization, and replace with new package LigerShark.WebOptimizer.Core, 3.0.477"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,LegacyWebForms.csproj,File,LegacyWebForms.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,LegacyWebForms.csproj,File,LegacyWebForms.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.7.2 Recommended target framework: net10.0"
Feature.1000,Convert application initialization code from Global.asax.cs to .NET Core and clean up Global.asax.cs,Active,Mandatory,1,LegacyWebForms.csproj,File,Global.asax.cs,,,,,,,,
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,LegacyWebForms.csproj,File,Web.config,,,,,Newtonsoft.Json,,,Manual redirect for Newtonsoft.Json targets 13.0.0.0 but auto-generation would target 13.0.3 (MSB3836 conflict)
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,LegacyWebForms.csproj,File,Web.config,,,,,WebGrease,,,Manual redirect for WebGrease targets 1.6.5135.21930 but auto-generation would target 1.6.0 (MSB3836 conflict)
Binding.0007,Binding redirect forces version downgrade,Active,Potential,1,LegacyWebForms.csproj,File,Web.config,,,,,Newtonsoft.Json,,,Binding redirect for Newtonsoft.Json targets 13.0.0.0 but package provides 13.0.3
